Date,Station,Latitude,Longitude,Elevation,Date,Average Wind Speed,Time of Fastest Wind,Peak Gust Time,Average Temperature,Maximum Temperature,Minimum Temperature,Direction Fastest 2-Minute Wind,Direction Fastest 5-Minute Wind,Fastest 2-Minute Wind Speed,Fastest 2-Minute Wind Speed,"Fog, Ice, Freezing Fog",Heavy Fog or Heavy Freezing Fog,Thunder,"Ice Pellets, Sleet or Small Hail",Hail,Glaze or Rime,"Dust, Volcanic Ash or Blowing Dust",Smoke or Haze,Blowing or Drifting Snow,High or Damaging Winds,Mist,Drizzle,Freezing Drizzle,Rain,Freezing Rain,"Snow, Snow Pellets or Ice Crystals",Unknown Precipitation,Ground Fog,Ice fog or Freezing Fog
107,USW00094846,41.96017,-87.93164,204.8,2010-04-18,8.5,1646.0,1216.0,,52.0,36.0,40.0,50.0,16.1,32.0,,,,,,,,,,,,,,,,,,,
108,USW00094846,41.96017,-87.93164,204.8,2010-04-19,6.26,1629.0,1547.0,,56.0,35.0,50.0,40.0,14.1,25.9,,,,,,,,,,,,,,,,,,,
109,USW00094846,41.96017,-87.93164,204.8,2010-04-20,3.8,1354.0,1428.0,,64.0,38.0,70.0,60.0,14.1,23.0,,,,,,,,,,,,,,,,,,,
110,USW00094846,41.96017,-87.93164,204.8,2010-04-21,10.51,2047.0,1338.0,,62.0,41.0,40.0,50.0,21.0,29.1,,,,,1.0,,,,,,,,,1.0,,,,,
111,USW00094846,41.96017,-87.93164,204.8,2010-04-22,7.16,1736.0,2156.0,,60.0,38.0,70.0,50.0,13.0,23.0,,,,,,,,,,,,,,,,,,,
112,USW00094846,41.96017,-87.93164,204.8,2010-04-23,7.83,2358.0,2358.0,,63.0,41.0,110.0,110.0,19.9,23.9,1.0,,,,1.0,,,,,,,,,1.0,,,,,
113,USW00094846,41.96017,-87.93164,204.8,2010-04-24,12.08,2053.0,2053.0,,60.0,51.0,100.0,90.0,25.9,31.1,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,
114,USW00094846,41.96017,-87.93164,204.8,2010-04-25,13.42,1552.0,1545.0,,60.0,47.0,30.0,40.0,23.0,30.0,1.0,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,
115,USW00094846,41.96017,-87.93164,204.8,2010-04-26,14.76,2258.0,1157.0,,63.0,47.0,20.0,40.0,21.9,36.0,,,,,,,,,,,,,,,,,,,
116,USW00094846,41.96017,-87.93164,204.8,2010-04-27,12.08,734.0,1005.0,,51.0,37.0,40.0,40.0,23.0,31.1,,,,,,,,,,,,,,,,,,,
117,USW00094846,41.96017,-87.93164,204.8,2010-04-28,4.7,1744.0,1829.0,,64.0,33.0,100.0,80.0,16.1,21.0,,,,,,,,,,,,,,,,,,,
118,USW00094846,41.96017,-87.93164,204.8,2010-04-29,18.34,1532.0,1538.0,,79.0,46.0,180.0,190.0,36.9,49.0,,,,,,,,,,,,,,,,,,,
119,USW00094846,41.96017,-87.93164,204.8,2010-04-30,18.12,1720.0,1722.0,,81.0,62.0,190.0,190.0,31.1,38.9,1.0,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,
